Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,
Loes,@LoesTweett,2024-05-12T11:23:36.000Z,False,Joost mocht gisteren Zweden niet uit zou toch meer aan de hand zijn,0,0,0,402,[],[],[],https://pbs.twimg.com/profile_images/1727776493709692929/OR661NN-_normal.jpg,https://x.com/LoesTweett/status/1789617419117289602,tweet_id:1789617419117289602,
Henny VRSD,@snuvienk,2024-05-12T11:25:34.000Z,False,Geen idee. We gaan het meemaken.,0,0,0,175,[],[],[],https://pbs.twimg.com/profile_images/1629941092769583106/w6-7ToDB_normal.jpg,https://x.com/snuvienk/status/1789617914166780176,tweet_id:1789617914166780176,
Crypto Tracker,@CryptoTrackify,2024-05-11T20:01:34.000Z,True,,0,0,0,1.9K,[],[],['\\U0001f642'],https://pbs.twimg.com/profile_images/1753764132392759296/M3haGsYk_normal.jpg,https://x.com/CryptoTrackify/status/1789385379671421309,tweet_id:1789385379671421309,
eliza .G,@gordijn_h,2024-05-12T07:32:58.000Z,False,In je dromen,0,0,0,154,[],[],[],https://pbs.twimg.com/profile_images/1763227813543370752/1WNM2s4v_normal.jpg,https://x.com/gordijn_h/status/1789559376702771596,tweet_id:1789559376702771596,
Rien van der Laan,@rvdl51,2024-05-11T19:42:41.000Z,False,"Zaal vol anti-semieten, wees er maar trots op",0,0,0,1.9K,[],[],[],https://pbs.twimg.com/profile_images/1763895581775220736/-h7V9Adu_normal.jpg,https://x.com/rvdl51/status/1789380629613674918,tweet_id:1789380629613674918,
BSR Ridderkerk,@BsrRidderk26179,2024-05-11T19:58:14.000Z,False,"Weet niet waar jij naar zit te kijken maar hoor alleen maar lof voor #Israel 
Israël 12 points

Oppleuren met die linkse flapdrol !!!",0,0,0,990,['#Israel'],[],[],https://pbs.twimg.com/profile_images/1757764867589656577/XjfkqhuO_normal.jpg,https://x.com/BsrRidderk26179/status/1789384541771018242,tweet_id:1789384541771018242,
Erikerik,@NLzoeker,2024-05-11T19:52:08.000Z,False,Triest,0,0,0,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1785714998334918656/3Ts2KBjd_normal.jpg,https://x.com/NLzoeker/status/1789383004554514614,tweet_id:1789383004554514614,
Marc Colen,@MarcColen,2024-05-11T19:49:56.000Z,False,U schrijft JOODS verkeerd..,0,0,0,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1470018052750200835/E4Wr1Y12_normal.jpg,https://x.com/MarcColen/status/1789382451514499137,tweet_id:1789382451514499137,
ari1949,@ari1949223067,2024-05-13T06:21:31.000Z,False,Maar Nederlandse bevolking stemde massaal op Israël haha,0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1746628531335868416/yMRT_fyT_normal.jpg,https://x.com/ari1949223067/status/1789903784438530436,tweet_id:1789903784438530436,
Luke,@lucasfilum,2024-05-11T19:35:24.000Z,False,"If you haven’t been following, the Netherlands entry should have been up next, but Joost has been disqualified over ab incident, despite Israel repeatedly harassing and threatening acts

If the EBU won’t let it play, then watch it here instead. It was my favourite #Eurovision2024",0,0,0,0,['#Eurovision2024'],[],[],https://pbs.twimg.com/profile_images/1168625270603112449/wTt1HlLu_normal.jpg,https://x.com/lucasfilum/status/1789378796979687431,tweet_id:1789378796979687431,
Thea,@evilsaintthea,2024-05-12T07:00:39.000Z,True,"Mine too. I’ve never danced along with a EV song before and definitely never got so happy just by the sheer energy of it. The Netherlands was ROBBED, plain and simple. Joost however got so much support, he really has come out the winner",0,0,0,4.4K,[],[],[],https://pbs.twimg.com/profile_images/1466394465703284746/ncSTUWki_normal.jpg,https://x.com/evilsaintthea/status/1789551243989319883,tweet_id:1789551243989319883,
Crypto Tracker,@CryptoTrackify,2024-05-11T20:13:14.000Z,True,,0,0,0,16K,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1753764132392759296/M3haGsYk_normal.jpg,https://x.com/CryptoTrackify/status/1789388317282201664,tweet_id:1789388317282201664,
Manuel da Bolt.eth • ☭⃠,@OManueldaBolt,2024-05-12T11:09:08.000Z,False,,0,0,0,113,[],[],"['\\U0001f923', '\\U0001f606', '\\U0001f923', '\\U0001f606', '\\U0001f923', '\\U0001f606']",https://pbs.twimg.com/profile_images/1420576270329524226/vH_TVihY_normal.jpg,https://x.com/OManueldaBolt/status/1789613775143764099,tweet_id:1789613775143764099,
